FIPS_Code,Employed_2019,Unemployed_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,5_year_unemployment_delta
1001,25561,720,58233,112.4818878,-0.534482759
1003,94713,2711,59871,115.6458282,-0.540983607
1005,8177,325,35972,69.48291779,-0.638095238
1007,8371,268,47918,92.55760956,-0.569444444
1009,24516,680,52902,102.1846237,-0.557377049
1011,4608,177,31906,61.62909698,-0.579545455
1013,8832,340,39944,77.15516663,-0.564705882
1015,44440,1642,47747,92.22731018,-0.544303797
1017,15287,462,42015,81.1554718,-0.567164179
1019,11386,340,45982,88.81806183,-0.5
1021,19296,545,49692,95.98423767,-0.564516129
1023,4427,218,39808,76.89247131,-0.477777778
1025,7151,437,43822,84.64584351,-0.520661157
1027,5886,182,40562,78.34888458,-0.577464789
1029,5590,183,51276,99.04386902,-0.515151515
1031,21108,633,57299,110.6777954,-0.560606061
1033,22811,892,46683,90.17210388,-0.542168675
1035,4320,179,41539,80.23603821,-0.611650485
1037,4370,135,42024,81.17285919,-0.659090909
1039,15007,538,44836,86.6044693,-0.545454545
1041,6253,183,43309,83.65494537,-0.594202899
1043,37533,1008,50897,98.3117981,-0.566666667
1045,19951,649,45120,87.15303802,-0.542857143
1047,13850,805,34034,65.73950958,-0.508928571
1049,30270,878,44277,85.52471161,-0.588235294
1051,36257,979,62310,120.3569565,-0.543859649
1053,14095,518,42712,82.50178528,-0.5625
1055,41026,1436,43047,83.14886475,-0.514285714
1057,6376,206,44212,85.39916229,-0.602564103
1059,14185,407,44874,86.6778717,-0.636363636
1061,10606,324,43089,83.22999573,-0.552238806
1063,2727,162,28699,55.43450928,-0.548387097
1065,5834,242,40745,78.70236206,-0.591836735
1067,6632,250,48597,93.86915588,-0.52
1069,44892,1406,50138,96.84572601,-0.552238806
1071,22550,776,44322,85.6116333,-0.541666667
1073,307648,9154,54127,104.5508118,-0.53968254
1075,5621,181,42686,82.4515686,-0.550724638
1077,41047,1401,48188,93.07913971,-0.541666667
1079,13779,451,47797,92.32389069,-0.609756098
1081,74272,2103,54160,104.6145554,-0.5
1083,43081,1191,64729,125.0294571,-0.557377049
1085,3296,203,33930,65.53862,-0.546875
1087,7522,334,34281,66.21660614,-0.527472527
1089,180126,4815,68609,132.5240021,-0.573770492
1091,7409,272,38838,75.01882935,-0.556962025
1093,12299,449,44675,86.29348755,-0.556962025
1095,42962,1098,48913,94.47953796,-0.621212121
1097,181682,7059,49492,95.59792328,-0.519480519
1099,6966,354,40005,77.27298737,-0.563636364
1101,102780,3297,52711,101.8156891,-0.544117647
1103,56777,1511,54355,104.9912109,-0.606060606
1105,3203,178,29572,57.12078094,-0.558333333
1107,7625,279,40249,77.74429321,-0.567901235
1109,14825,506,41271,79.71837616,-0.547945205
1111,9204,293,42922,82.9074173,-0.537313433
1113,23001,707,43670,84.35224152,-0.538461538
1115,39591,1107,65403,126.3313446,-0.526315789
1117,113842,2570,77801,150.2791138,-0.511111111
1119,4537,218,29209,56.4196167,-0.452380952
1121,34428,1226,47719,92.1732254,-0.558441558
1123,17894,558,47100,90.97757721,-0.6
1125,102096,2854,52307,101.0353317,-0.542372881
1127,24311,837,45991,88.83544922,-0.582278481
1129,6384,315,48864,94.3848877,-0.505263158
1131,2512,194,30998,59.87522125,-0.571428571
1133,9785,337,40827,78.86075592,-0.61627907
2013,2502,58,66923,86.68445587,-0.477272727
2016,3544,113,84726,109.7444382,-0.340425532
2020,142485,6633,82512,106.8766785,-0.137254902
2050,6283,815,48262,62.51311493,-0.272151899
2060,427,24,87950,113.9204407,-0.329113924
2068,1021,81,78434,101.5944977,-0.274509804
2070,1847,140,57436,74.39607239,-0.292929293
2090,43373,2137,74076,95.94963837,-0.175438596
2100,1043,90,62548,81.01757813,-0.254716981
2110,16625,677,85419,110.6420746,-0.22
2122,24947,1604,68625,88.88903046,-0.220779221
2130,6637,385,75706,98.06095886,-0.285714286
2150,5695,293,79669,103.1941757,-0.125
2158,2186,466,35369,45.81298828,-0.25106383
2164,647,63,51693,66.95724487,-0.447204969
2170,45432,2929,75856,98.25524902,-0.227848101
2180,3637,395,58464,75.72763062,-0.190082645
2185,3360,201,84784,109.8195648,-0.050847458
2188,2542,366,61660,79.86736298,-0.25
2220,4258,161,80660,104.4778061,-0.28
2240,2652,227,69646,90.21151733,-0.392307692
2261,4551,326,74574,96.59468842,-0.294736842
2282,235,17,61587,79.77280426,-0.323232323
2290,2137,308,42063,54.48363495,-0.326203209
4001,18373,2059,35386,57.04935074,-0.356687898
4003,47381,2919,48650,78.43358612,-0.30952381
4005,72664,4443,58301,93.99293518,-0.183098592
4007,20191,1219,45980,74.12900543,-0.313253012
4009,14665,762,50685,81.7144165,-0.337837838
4011,4302,180,68066,109.736084,-0.384615385
4012,8727,556,39407,63.53200912,-0.210526316
4013,2202716,96094,68634,110.6518097,-0.275862069
4015,82093,5118,49712,80.14574432,-0.32183908
4017,37641,3079,40676,65.57789612,-0.315315315
