Fips Code,Living Wage,Poverty Wage,Minimum Wage
1001,26.69,10.44,7.25
1003,27.3,10.44,7.25
1005,25.28,10.44,7.25
1007,27.8,10.44,7.25
1009,27.8,10.44,7.25
1011,25.13,10.44,7.25
1013,25.13,10.44,7.25
1015,25.76,10.44,7.25
1017,25.64,10.44,7.25
1019,25.13,10.44,7.25
1021,25.86,10.44,7.25
1023,25.18,10.44,7.25
1025,25.13,10.44,7.25
1027,25.13,10.44,7.25
1029,25.13,10.44,7.25
1031,25.51,10.44,7.25
1033,25.86,10.44,7.25
1035,25.13,10.44,7.25
1037,25.49,10.44,7.25
1039,25.13,10.44,7.25
1041,25.13,10.44,7.25
1043,25.37,10.44,7.25
1045,25.13,10.44,7.25
1047,25.18,10.44,7.25
1049,25.13,10.44,7.25
1051,26.69,10.44,7.25
1053,25.13,10.44,7.25
1055,25.71,10.44,7.25
1057,25.13,10.44,7.25
1059,25.13,10.44,7.25
1061,25.52,10.44,7.25
1063,25.13,10.44,7.25
1065,27.08,10.44,7.25
1067,25.13,10.44,7.25
1069,25.52,10.44,7.25
1071,25.38,10.44,7.25
1073,27.8,10.44,7.25
1075,25.13,10.44,7.25
1077,25.86,10.44,7.25
1079,25.67,10.44,7.25
1081,26.55,10.44,7.25
1083,26.34,10.44,7.25
1085,26.69,10.44,7.25
1087,25.31,10.44,7.25
1089,26.34,10.44,7.25
1091,25.13,10.44,7.25
1093,25.13,10.44,7.25
1095,25.28,10.44,7.25
1097,27,10.44,7.25
1099,25.13,10.44,7.25
1101,26.69,10.44,7.25
1103,25.67,10.44,7.25
1105,25.13,10.44,7.25
1107,25.13,10.44,7.25
1109,25.21,10.44,7.25
1111,25.13,10.44,7.25
1113,26.4,10.44,7.25
1115,27.8,10.44,7.25
1117,27.8,10.44,7.25
1119,26.04,10.44,7.25
1121,25.36,10.44,7.25
1123,25.13,10.44,7.25
1125,27.08,10.44,7.25
1127,26.12,10.44,7.25
1129,25.18,10.44,7.25
1131,25.13,10.44,7.25
1133,25.13,10.44,7.25
2013,27.59,13.05,10.19
2016,31.29,13.05,10.19
2020,28.28,13.05,10.19
2050,30.84,13.05,10.19
2060,27.58,13.05,10.19
2068,29.84,13.05,10.19
2070,28.87,13.05,10.19
2090,28.41,13.05,10.19
2100,26.61,13.05,10.19
2105,26.16,13.05,10.19
2110,29.46,13.05,10.19
2122,27.52,13.05,10.19
2130,29.01,13.05,10.19
2150,29.13,13.05,10.19
2158,25.85,13.05,10.19
2164,25.61,13.05,10.19
2170,26.52,13.05,10.19
2180,30.82,13.05,10.19
2185,29.46,13.05,10.19
2188,28.99,13.05,10.19
2195,27.42,13.05,10.19
2198,27,13.05,10.19
2220,28.19,13.05,10.19
2230,28.78,13.05,10.19
2240,28.22,13.05,10.19
2261,27.85,13.05,10.19
2275,26.29,13.05,10.19
2282,27.77,13.05,10.19
2290,25,13.05,10.19
4001,26.42,10.44,12
4003,27.36,10.44,12
4005,30.25,10.44,12
4007,27.82,10.44,12
4009,27.34,10.44,12
4011,26.36,10.44,12
4012,27.36,10.44,12
4013,29.59,10.44,12
4015,27.46,10.44,12
4017,26.98,10.44,12
4019,28.01,10.44,12
4021,29.59,10.44,12
4023,26.62,10.44,12
4025,28.56,10.44,12
4027,27.07,10.44,12
5001,27.07,10.44,10
5003,26.99,10.44,10
5005,27.49,10.44,10
5007,28.28,10.44,10
5009,26.99,10.44,10
5011,26.99,10.44,10
5013,27.33,10.44,10
5015,27.04,10.44,10
5017,26.99,10.44,10
5019,26.99,10.44,10
5021,26.99,10.44,10
5023,27.35,10.44,10
5025,27.59,10.44,10
5027,26.99,10.44,10
5029,26.99,10.44,10
5031,28.18,10.44,10
5033,27.39,10.44,10
5035,28.84,10.44,10
5037,27.39,10.44,10
5039,26.99,10.44,10
5041,26.99,10.44,10
5043,26.99,10.44,10
5045,28.26,10.44,10
5047,26.99,10.44,10
5049,26.99,10.44,10
5051,28.02,10.44,10
5053,27.56,10.44,10
5055,27.45,10.44,10
5057,27.08,10.44,10
5059,27.01,10.44,10
5061,26.99,10.44,10
5063,27.2,10.44,10
5065,26.99,10.44,10
5067,26.99,10.44,10
5069,27.59,10.44,10
5071,27.07,10.44,10
5073,26.99,10.44,10
5075,26.99,10.44,10
5077,26.99,10.44,10
5079,27.59,10.44,10
5081,26.99,10.44,10
5083,26.99,10.44,10
5085,28.26,10.44,10
5087,28.28,10.44,10
5089,26.99,10.44,10
5091,28.17,10.44,10
5093,27.09,10.44,10
5095,26.99,10.44,10
5097,26.99,10.44,10
5099,27.73,10.44,10
5101,26.99,10.44,10
5103,26.99,10.44,10
5105,28.26,10.44,10
5107,26.99,10.44,10
5109,26.99,10.44,10
5111,26.99,10.44,10
5113,26.99,10.44,10
5115,27.18,10.44,10
5117,26.99,10.44,10
5119,28.26,10.44,10
5121,26.99,10.44,10
5123,26.99,10.44,10
5125,28.26,10.44,10
5127,26.99,10.44,10
5129,26.99,10.44,10
5131,27.39,10.44,10
5133,26.99,10.44,10
5135,26.99,10.44,10
5137,27.01,10.44,10
5139,27,10.44,10
5141,27.08,10.44,10
5143,28.28,10.44,10
5145,27.34,10.44,10
5147,26.99,10.44,10
5149,26.99,10.44,10
6001,41.18,10.44,12
6003,31.98,10.44,12
6005,32.83,10.44,12
6007,32.55,10.44,12
6009,31.78,10.44,12
6011,31.4,10.44,12
6013,41.18,10.44,12
6015,31.7,10.44,12
6017,34.49,10.44,12
6019,31.72,10.44,12
6021,30.99,10.44,12
6023,32.17,10.44,12
6025,32.07,10.44,12
6027,31.67,10.44,12
6029,31.46,10.44,12
6031,32.35,10.44,12
6033,31.99,10.44,12
6035,31.13,10.44,12
6037,39.06,10.44,12
6039,32.66,10.44,12
6041,49.45,10.44,12
6043,32.31,10.44,12
6045,33.17,10.44,12
6047,31.47,10.44,12
6049,30.14,10.44,12
6051,34.05,10.44,12
6053,37.96,10.44,12
6055,38.48,10.44,12
6057,34.23,10.44,12
6059,41.01,10.44,12
6061,34.49,10.44,12
6063,31.24,10.44,12
6065,34.04,10.44,12
6067,34.49,10.44,12
6069,37.21,10.44,12
6071,34.04,10.44,12
6073,39.67,10.44,12
6075,49.45,10.44,12
6077,32.95,10.44,12
6079,36.81,10.44,12
6081,49.45,10.44,12
6083,41.82,10.44,12
6085,46.68,10.44,12
6087,43.29,10.44,12
6089,31.61,10.44,12
6091,33.9,10.44,12
6093,30.79,10.44,12
6095,36.3,10.44,12
6097,39,10.44,12
6099,32.66,10.44,12
6101,32.52,10.44,12
6103,31.18,10.44,12
6105,30.76,10.44,12
6107,31.43,10.44,12
6109,31.98,10.44,12
6111,38.96,10.44,12
6113,34.91,10.44,12
6115,32.52,10.44,12
8001,32.66,10.44,12
8003,26.87,10.44,12
8005,32.66,10.44,12
8007,28.07,10.44,12
8009,26.62,10.44,12
8011,26.62,10.44,12
8013,33.73,10.44,12
8014,32.66,10.44,12
8015,27.38,10.44,12
8017,26.62,10.44,12
8019,32.66,10.44,12
8021,26.62,10.44,12
8023,26.62,10.44,12
8025,26.75,10.44,12
8027,26.84,10.44,12
8029,27.79,10.44,12
8031,32.66,10.44,12
8033,26.62,10.44,12
8035,32.66,10.44,12
8037,31.72,10.44,12
8039,32.66,10.44,12
8041,29.64,10.44,12
8043,27.13,10.44,12
8045,29.64,10.44,12
8047,32.66,10.44,12
8049,28.74,10.44,12
8051,27.75,10.44,12
8053,27.01,10.44,12
8055,26.75,10.44,12
8057,27.62,10.44,12
8059,32.66,10.44,12
8061,27.62,10.44,12
8063,26.72,10.44,12
8065,27.14,10.44,12
8067,28.52,10.44,12
8069,30.37,10.44,12
8071,27.07,10.44,12
8073,26.93,10.44,12
8075,26.86,10.44,12
8077,28.89,10.44,12
8079,27.62,10.44,12
8081,26.96,10.44,12
8083,27.14,10.44,12
8085,27.35,10.44,12
8087,27.16,10.44,12
8089,26.92,10.44,12
8091,29.77,10.44,12
8093,32.66,10.44,12
8095,26.62,10.44,12
8097,32.75,10.44,12
8099,26.62,10.44,12
8101,27.5,10.44,12
8103,27.27,10.44,12
8105,26.62,10.44,12
8107,30.26,10.44,12
8109,26.62,10.44,12
8111,28.67,10.44,12
8113,31.17,10.44,12
8115,26.62,10.44,12
8117,31.58,10.44,12
8119,29.47,10.44,12
8121,26.62,10.44,12
8123,28.97,10.44,12
8125,26.62,10.44,12
9001,33.32,10.44,12
9003,29.66,10.44,12
9005,29.3,10.44,12
9007,30.29,10.44,12
9009,30.42,10.44,12
9011,29.41,10.44,12
9013,29.66,10.44,12
9015,28.16,10.44,12
10001,30.24,10.44,9.25
10003,31.56,10.44,9.25
10005,28.73,10.44,9.25
10180,25.99,10.44,7.25
10420,26.11,10.44,8.7
10500,26.87,10.44,7.25
10540,30.45,10.44,12
10580,28.27,10.44,11.8
10740,28.01,10.44,9
10780,27.75,10.44,7.25
10900,26.01,10.44,7.25
11001,35.64,10.44,13.25
11020,24.17,10.44,7.25
11100,26.06,10.44,7.25
11180,26.62,10.44,7.25
11260,27.81,13.05,10.19
11460,27.66,10.44,9.65
11500,25.74,10.44,7.25
11540,26.74,10.44,7.25
11700,29.76,10.44,7.25
12001,27.02,10.44,8.56
12003,25.8,10.44,8.56
12005,26.81,10.44,8.56
12007,25.52,10.44,8.56
12009,27.74,10.44,8.56
12011,30.76,10.44,8.56
12013,25.3,10.44,8.56
12015,27.37,10.44,8.56
12017,26.24,10.44,8.56
12019,27.61,10.44,8.56
12020,27.53,10.44,7.25
12021,29.77,10.44,8.56
12023,26.41,10.44,8.56
12027,25.6,10.44,8.56
12029,25.3,10.44,8.56
12031,27.61,10.44,8.56
12033,26.91,10.44,8.56
12035,28.03,10.44,8.56
12037,25.78,10.44,8.56
12039,27.35,10.44,8.56
12041,27.02,10.44,8.56
12043,25.82,10.44,8.56
12045,26.2,10.44,8.56
12047,25.3,10.44,8.56
12049,25.42,10.44,8.56
12051,25.56,10.44,8.56
12053,28.6,10.44,8.56
12055,26.19,10.44,8.56
12057,28.6,10.44,8.56
12059,25.42,10.44,8.56
12060,29.79,10.44,7.25
12061,27.34,10.44,8.56
12063,25.48,10.44,8.56
12065,27.35,10.44,8.56
12067,25.92,10.44,8.56
12069,28.88,10.44,8.56
12071,28.44,10.44,8.56
12073,27.35,10.44,8.56
12075,25.41,10.44,8.56
12077,25.3,10.44,8.56
12079,25.3,10.44,8.56
12081,28.69,10.44,8.56
12083,26.54,10.44,8.56
12085,28.61,10.44,8.56
12086,31.41,10.44,8.56
12087,32.1,10.44,8.56
12089,27.61,10.44,8.56
12091,28,10.44,8.56
12093,26.11,10.44,8.56
12095,28.88,10.44,8.56
12097,28.88,10.44,8.56
12099,30.61,10.44,8.56
12100,29.92,10.44,11
12101,28.6,10.44,8.56
12103,28.6,10.44,8.56
12105,26.65,10.44,8.56
12107,25.38,10.44,8.56
12109,27.61,10.44,8.56
12111,28.61,10.44,8.56
12113,26.91,10.44,8.56
12115,28.69,10.44,8.56
12117,28.88,10.44,8.56
12119,26.33,10.44,8.56
12121,25.3,10.44,8.56
12123,25.3,10.44,8.56
12125,25.3,10.44,8.56
12127,27.96,10.44,8.56
12129,26.77,10.44,8.56
12131,26.41,10.44,8.56
12133,25.3,10.44,8.56
12220,26.53,10.44,7.25
12260,27.51,10.44,7.25
12420,29.3,10.44,7.25
12540,29.9,10.44,12
12580,31.19,10.44,11
12620,27.52,10.44,12
12700,29.25,10.44,12.75
12940,28.25,10.44,7.25
12980,25.33,10.44,9.65
13001,26.23,10.44,7.25
13003,26.23,10.44,7.25
13005,26.23,10.44,7.25
13007,26.87,10.44,7.25
13009,26.71,10.44,7.25
13011,26.35,10.44,7.25
13013,29.94,10.44,7.25
13015,29.94,10.44,7.25
13017,26.23,10.44,7.25
13019,26.23,10.44,7.25
13020,24.91,10.44,9.65
13021,27.09,10.44,7.25
13023,26.23,10.44,7.25
13025,27.2,10.44,7.25
13027,26.72,10.44,7.25
13029,28.81,10.44,7.25
13031,26.64,10.44,7.25
13033,27.65,10.44,7.25
13035,28.12,10.44,7.25
13037,26.23,10.44,7.25
13039,27.68,10.44,7.25
13043,26.23,10.44,7.25
13045,29.94,10.44,7.25
13047,27.53,10.44,7.25
13049,26.23,10.44,7.25
13051,28.81,10.44,7.25
13053,27.23,10.44,7.25
13055,26.23,10.44,7.25
13057,29.94,10.44,7.25
13059,27.65,10.44,7.25
13061,26.23,10.44,7.25
13063,29.94,10.44,7.25
13065,26.23,10.44,7.25
13067,29.94,10.44,7.25
13069,26.23,10.44,7.25
13071,26.23,10.44,7.25
13073,27.65,10.44,7.25
13075,26.23,10.44,7.25
13077,29.94,10.44,7.25
13079,27.09,10.44,7.25
13081,26.23,10.44,7.25
13083,27.53,10.44,7.25
13085,29.94,10.44,7.25
13087,26.23,10.44,7.25
13089,29.94,10.44,7.25
13091,26.23,10.44,7.25
13093,26.23,10.44,7.25
13095,26.87,10.44,7.25
13097,29.94,10.44,7.25
13099,26.23,10.44,7.25
13101,26.72,10.44,7.25
13103,28.81,10.44,7.25
13105,26.23,10.44,7.25
13107,26.23,10.44,7.25
13109,26.23,10.44,7.25
13111,26.68,10.44,7.25
13113,29.94,10.44,7.25
13115,26.97,10.44,7.25
13117,29.94,10.44,7.25
13119,26.23,10.44,7.25
13121,29.94,10.44,7.25
13123,26.9,10.44,7.25
13125,26.23,10.44,7.25
13127,27.2,10.44,7.25
13129,26.24,10.44,7.25
13131,26.37,10.44,7.25
13133,26.43,10.44,7.25
13135,29.94,10.44,7.25
13137,26.6,10.44,7.25
13139,28.01,10.44,7.25
13140,26.12,10.44,7.25
13141,26.23,10.44,7.25
13143,27.54,10.44,7.25
13145,27.23,10.44,7.25
13147,26.34,10.44,7.25
13149,29.94,10.44,7.25
13151,29.94,10.44,7.25
13153,27.98,10.44,7.25
