fips_state_county_code,population_2020,10_year_pop_delta,20_year_pop_delta,rucc
1001,58805,0.077586997,0.344083564,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1007,22293,-0.027143792,0.122733683,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1009,59134,0.0316109,0.159899572,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1003,231767,0.271593559,0.650574009,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1015,116441,-0.017972203,0.040748288,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1005,25223,-0.081363587,-0.131499208,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1011,10357,-0.051035367,-0.107386021,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1013,19051,-0.090514155,-0.109516687,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1017,34772,0.01627941,-0.049945355,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1019,24971,-0.039170418,0.04441842,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1021,45014,0.031413972,0.136602363,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1023,12665,-0.086153402,-0.206105435,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
1025,23087,-0.106298146,-0.171618227,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
1027,14236,0.02182027,-0.000280899,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
1029,15056,0.005610473,0.064705466,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1031,53465,0.07041323,0.225165563,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1033,57227,0.051425737,0.040888339,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1035,11597,-0.123299063,-0.176173901,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
1037,10387,-0.099835341,-0.122867759,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1039,37570,-0.005163511,-0.001859724,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
