fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
0,4077231,1328.0,147.0,496.0,224.0,52.0,102.0,159.0,2007.0,288.0,547.0,376.0,193.0,2648.0,904.0,1680.0,444.0,17506.0,31.0,1653.0,288.0,13.0,3951.0,136.0,16.0,28.0,44.0,84.0,547.0,633.0
1001,166719,17.0,1.0,12.0,16.0,3.0,5.0,9.0,113.0,0.0,0.0,8.0,0.0,60.0,8.0,37.0,11.0,1001.0,0.0,7.0,28.0,0.0,125.0,4.0,0.0,0.0,0.0,0.0,8.0,6.0
1003,668613,246.0,2.0,123.0,22.0,10.0,34.0,40.0,772.0,3.0,13.0,5.0,18.0,143.0,186.0,331.0,46.0,6238.0,0.0,98.0,17.0,0.0,762.0,62.0,0.0,0.0,0.0,0.0,78.0,83.0
1005,73785,14.0,0.0,1.0,1.0,3.0,1.0,3.0,32.0,0.0,2.0,1.0,0.0,6.0,9.0,3.0,8.0,172.0,0.0,9.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0
1007,66873,18.0,1.0,20.0,6.0,1.0,4.0,8.0,39.0,2.0,1.0,3.0,0.0,3.0,5.0,11.0,4.0,381.0,0.0,5.0,5.0,0.0,87.0,4.0,0.0,0.0,0.0,0.0,9.0,5.0
1009,169599,32.0,0.0,29.0,4.0,2.0,1.0,1.0,103.0,0.0,0.0,1.0,0.0,3.0,7.0,25.0,7.0,861.0,0.0,6.0,1.0,0.0,89.0,4.0,0.0,0.0,0.0,0.0,9.0,7.0
1011,30156,10.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
1013,58596,21.0,0.0,5.0,2.0,1.0,0.0,7.0,48.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,53.0,0.0,12.0,1.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0
1015,340758,98.0,4.0,75.0,25.0,8.0,4.0,18.0,422.0,1.0,3.0,12.0,5.0,113.0,55.0,86.0,123.0,2083.0,0.0,35.0,6.0,0.0,407.0,5.0,0.0,0.0,0.0,3.0,44.0,37.0
1017,100674,27.0,2.0,13.0,5.0,3.0,7.0,6.0,91.0,2.0,0.0,0.0,2.0,6.0,32.0,23.0,41.0,1183.0,0.0,21.0,5.0,0.0,146.0,7.0,0.0,0.0,0.0,0.0,9.0,14.0
