,fips_state_county_code,Living Wage,Poverty Wage,Minimum Wage,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,5_year_unemployment_delta,population_2020,10_year_pop_delta,20_year_pop_delta,rucc_Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,"rucc_Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ","rucc_Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ","rucc_Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ","rucc_Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ","rucc_Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ","rucc_Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ","rucc_Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ","rucc_Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             ",total_crime_10k,less_than_hs_10k,hs_diploma_only_10k,some_college_or_associates_10k,bachelors_or_higher_10k,Employed_2019_10k,Unemployed_2019_10k
0,1001,26.69,10.44,7.25,58233.0,112.4818878,-0.534482759,58805.0,0.077586997,0.344083564,0,1,0,0,0,0,0,0,0,251.50922540600288,729.6998554544681,2134.3423178301164,1801.8875945922966,1688.4618654876285,4346.739222855199,122.43856814896692
1,1003,27.3,10.44,7.25,59871.0,115.6458282,-0.540983607,231767.0,0.271593559,0.650574009,0,0,1,0,0,0,0,0,0,402.64576061302944,599.438228910932,1803.4060068948556,2039.7209266202694,2077.431213244336,4086.561072111215,116.97092338426091
2,1005,25.28,10.44,7.25,35972.0,69.48291779,-0.638095238,25223.0,-0.081363587,-0.131499208,0,0,0,0,0,1,0,0,0,136.77992308607224,1907.7825793918248,2535.780834952226,1853.86353724775,824.6441739682036,3241.8824089125005,128.85065218253183
3,1007,27.8,10.44,7.25,47918.0,92.55760956,-0.569444444,22293.0,-0.027143792,0.122733683,1,0,0,0,0,0,0,0,0,279.0113488539004,1518.8624231821648,3254.8333557618985,1726.1023639707532,752.7026420849595,3754.990355717041,120.21710850939758
4,1009,27.8,10.44,7.25,52902.0,102.1846237,-0.557377049,59134.0,0.0316109,0.159899572,1,0,0,0,0,0,0,0,0,201.57608144214836,1312.7811411370785,2248.959989177123,2286.1636283694656,881.0498190550276,4145.838265633984,114.99306659451416
5,1011,25.13,10.44,7.25,31906.0,61.62909698,-0.579545455,10357.0,-0.051035367,-0.107386021,0,0,0,0,0,1,0,0,0,73.38032248720673,1736.0239451578643,2761.417398860674,1532.2969971999614,826.4941585401178,4449.164816066429,170.8989089504683
6,1013,25.13,10.44,7.25,39944.0,77.15516663,-0.564705882,19051.0,-0.090514155,-0.109516687,0,0,0,0,0,1,0,0,0,122.82819799485593,1084.4575087921894,3277.518240512309,1721.1694924150963,1170.542228754396,4635.977114062254,178.46832187286756
7,1015,25.76,10.44,7.25,47747.0,92.22731018,-0.544303797,116441.0,-0.017972203,0.040748288,0,0,1,0,0,0,0,0,0,315.3528396355236,1057.6171623397256,2227.737652545066,2252.900610609665,1255.5714911414364,3816.5251071358025,141.01562164529676
8,1017,25.64,10.44,7.25,42015.0,81.1554718,-0.567164179,34772.0,0.01627941,-0.049945355,0,0,0,0,0,1,0,0,0,473.0817899459335,1257.3334867134474,2513.2290348556307,2161.221672610146,909.6399401817554,4396.353387783274,132.86552398481535
9,1019,25.13,10.44,7.25,45982.0,88.81806183,-0.5,24971.0,-0.039170418,0.04441842,0,0,0,0,0,1,0,0,0,432.1012374354251,1392.8156661727603,3042.7295662969045,2158.904329021665,963.9181450482561,4559.689239517841,136.1579432141284
