FIPS_Code,State,Area_name,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013
1001,AL,"Autauga County, AL",21861,20971,890,4.1,22081,21166,915,4.1,22161,21096,1065,4.8,22695,21557,1138,5,23241,22146,1095,4.7,23887,22986,901,3.8,24425,23619,806,3.3,24434,23610,824,3.4,24687,23376,1311,5.3,24660,22464,2196,8.9,25749,23481,2268,8.8,25845,23688,2157,8.3,25762,23932,1830,7.1,25783,24155,1628,6.3,25639,24150,1489,5.8,25541,24206,1335,5.2,25710,24395,1315,5.1,25898,24858,1040,4,26081,25140,941,3.6,26281,25561,720,2.7,25838,24576,1262,4.9,58233,112.4818878,2,2,1
1003,AL,"Baldwin County, AL",69979,67370,2609,3.7,69569,66545,3024,4.3,69379,65881,3498,5,72598,69010,3588,4.9,74843,71061,3782,5.1,76608,73581,3027,4,79806,77263,2543,3.2,82829,80213,2616,3.2,83205,79222,3983,4.8,82314,74950,7364,8.9,83551,75283,8268,9.9,85077,77459,7618,9,84507,77973,6534,7.7,85206,79466,5740,6.7,86546,81265,5281,6.1,87493,82619,4874,5.6,89778,84972,4806,5.4,91838,87994,3844,4.2,94820,91375,3445,3.6,97424,94713,2711,2.8,96763,91338,5425,5.6,59871,115.6458282,3,2,1
1005,AL,"Barbour County, AL",11449,10812,637,5.6,11324,10468,856,7.6,11006,10154,852,7.7,11019,10241,778,7.1,10639,9884,755,7.1,10730,10114,616,5.7,10713,10110,603,5.6,10363,9698,665,6.4,10175,9249,926,9.1,9944,8635,1309,13.2,10219,8978,1241,12.1,9843,8716,1127,11.4,9377,8273,1104,11.8,9096,8152,944,10.4,8859,7930,929,10.5,8590,7823,767,8.9,8334,7638,696,8.4,8298,7800,498,6,8379,7949,430,5.1,8502,8177,325,3.8,8587,7982,605,7,35972,69.48291779,6,6,0
1007,AL,"Bibb County, AL",8623,8160,463,5.4,9134,8513,621,6.8,8961,8333,628,7,8871,8346,525,5.9,8851,8375,476,5.4,8837,8444,393,4.4,8858,8489,369,4.2,8810,8443,367,4.2,8751,8225,526,6,8696,7637,1059,12.2,8936,7931,1005,11.2,8932,8000,932,10.4,8808,8037,771,8.8,8699,8000,699,8,8573,7959,614,7.2,8552,7983,569,6.7,8539,7986,553,6.5,8527,8142,385,4.5,8569,8229,340,4,8639,8371,268,3.1,8640,8067,573,6.6,47918,92.55760956,1,1,1
1009,AL,"Blount County, AL",25266,24375,891,3.5,25450,24521,929,3.7,25836,24436,1400,5.4,26008,24812,1196,4.6,26237,25149,1088,4.1,26378,25434,944,3.6,26799,25939,860,3.2,26683,25816,867,3.2,26693,25405,1288,4.8,26426,24005,2421,9.2,24928,22509,2419,9.7,25124,22951,2173,8.6,24978,23216,1762,7.1,24860,23277,1583,6.4,24571,23074,1497,6.1,24416,23089,1327,5.4,24380,23061,1319,5.4,24656,23631,1025,4.2,24960,24086,874,3.5,25196,24516,680,2.7,24661,23653,1008,4.1,52902,102.1846237,1,1,1
1011,AL,"Bullock County, AL",3997,3656,341,8.5,3937,3543,394,10,3890,3493,397,10.2,3992,3556,436,10.9,3879,3437,442,11.4,3734,3383,351,9.4,3703,3377,326,8.8,3666,3313,353,9.6,3641,3244,397,10.9,3713,3179,534,14.4,4941,4365,576,11.7,4829,4274,555,11.5,4742,4240,502,10.6,4774,4322,452,9.5,4738,4323,415,8.8,4765,4385,380,8,4785,4457,328,6.9,4820,4576,244,5.1,4770,4549,221,4.6,4785,4608,177,3.7,4818,4553,265,5.5,31906,61.62909698,6,6,0
1013,AL,"Butler County, AL",9221,8496,725,7.9,9060,8372,688,7.6,9172,8448,724,7.9,9218,8423,795,8.6,9090,8240,850,9.4,9113,8528,585,6.4,9247,8722,525,5.7,9124,8551,573,6.3,9063,8263,800,8.8,9033,7671,1362,15.1,9252,8015,1237,13.4,9180,8046,1134,12.4,9103,8029,1074,11.8,9144,8189,955,10.4,9285,8496,789,8.5,9113,8417,696,7.6,9116,8484,632,6.9,8920,8412,508,5.7,8935,8512,423,4.7,9172,8832,340,3.7,9056,8255,801,8.8,39944,77.15516663,6,6,0
1015,AL,"Calhoun County, AL",53244,50522,2722,5.1,51889,49001,2888,5.6,52111,48991,3120,6,53026,49892,3134,5.9,54074,51164,2910,5.4,53812,51409,2403,4.5,54118,51946,2172,4,54983,52782,2201,4,54574,51371,3203,5.9,53760,48278,5482,10.2,51577,45798,5779,11.2,51271,45986,5285,10.3,49717,45196,4521,9.1,48381,44068,4313,8.9,47321,43562,3759,7.9,45808,42566,3242,7.1,45450,42470,2980,6.6,45656,43324,2332,5.1,46110,43981,2129,4.6,46082,44440,1642,3.6,46240,42980,3260,7.1,47747,92.22731018,3,2,1
1017,AL,"Chambers County, AL",17486,16709,777,4.4,17526,16568,958,5.5,17211,16056,1155,6.7,16896,15815,1081,6.4,16617,15468,1149,6.9,16308,15379,929,5.7,15761,14849,912,5.8,15517,14489,1028,6.6,15066,12823,2243,14.9,14487,11863,2624,18.1,14734,12581,2153,14.6,15185,13386,1799,11.8,15160,13630,1530,10.1,15263,14028,1235,8.1,15329,14308,1021,6.7,14939,14031,908,6.1,14858,14044,814,5.5,15158,14521,637,4.2,15300,14705,595,3.9,15749,15287,462,2.9,15865,14787,1078,6.8,42015,81.1554718,6,5,0
1019,AL,"Cherokee County, AL",11378,10862,516,4.5,11406,10881,525,4.6,11591,11039,552,4.8,11977,11392,585,4.9,12072,11501,571,4.7,12012,11493,519,4.3,11864,11367,497,4.2,12012,11500,512,4.3,11999,11287,712,5.9,11715,10460,1255,10.7,11466,10267,1199,10.5,11473,10369,1104,9.6,11278,10350,928,8.2,11392,10627,765,6.7,11407,10748,659,5.8,11132,10521,611,5.5,11241,10671,570,5.1,11309,10834,475,4.2,11637,11222,415,3.6,11726,11386,340,2.9,11513,10983,530,4.6,45982,88.81806183,6,6,0
