,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),County,State,URL,Unnamed: 0_level_0
,0 Children,1 Child,2 Children,3 Children,0 Children,1 Child,2 Children,3 Children,0 Children,1 Child,2 Children,3 Children,,,,Unnamed: 0_level_1
0,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Autauga County,Alabama,https://livingwage.mit.edu/counties/01001,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Autauga County,Alabama,https://livingwage.mit.edu/counties/01001,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Autauga County,Alabama,https://livingwage.mit.edu/counties/01001,Minimum Wage
0,$14.73,$28.08,$34.25,$43.94,$22.94,$27.30,$30.90,$33.45,$11.47,$15.42,$19.00,$22.05,Baldwin County,Alabama,https://livingwage.mit.edu/counties/01003,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Baldwin County,Alabama,https://livingwage.mit.edu/counties/01003,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Baldwin County,Alabama,https://livingwage.mit.edu/counties/01003,Minimum Wage
0,$12.83,$25.27,$30.65,$38.26,$21.04,$25.28,$28.89,$30.16,$10.52,$14.02,$17.20,$19.22,Barbour County,Alabama,https://livingwage.mit.edu/counties/01005,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Barbour County,Alabama,https://livingwage.mit.edu/counties/01005,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Barbour County,Alabama,https://livingwage.mit.edu/counties/01005,Minimum Wage
0,$15.16,$28.20,$34.01,$43.10,$23.74,$27.80,$31.40,$33.74,$11.87,$15.49,$18.88,$21.64,Bibb County,Alabama,https://livingwage.mit.edu/counties/01007,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Bibb County,Alabama,https://livingwage.mit.edu/counties/01007,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Bibb County,Alabama,https://livingwage.mit.edu/counties/01007,Minimum Wage
0,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15,Blount County,Alabama,https://livingwage.mit.edu/counties/01009,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Blount County,Alabama,https://livingwage.mit.edu/counties/01009,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Blount County,Alabama,https://livingwage.mit.edu/counties/01009,Minimum Wage
0,$12.81,$25.82,$31.90,$40.50,$21.06,$25.13,$28.74,$30.31,$10.53,$14.29,$17.82,$20.34,Bullock County,Alabama,https://livingwage.mit.edu/counties/01011,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Bullock County,Alabama,https://livingwage.mit.edu/counties/01011,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Bullock County,Alabama,https://livingwage.mit.edu/counties/01011,Minimum Wage
0,$12.81,$25.82,$31.90,$40.30,$21.32,$25.13,$28.74,$30.11,$10.66,$14.29,$17.82,$20.24,Butler County,Alabama,https://livingwage.mit.edu/counties/01013,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Butler County,Alabama,https://livingwage.mit.edu/counties/01013,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Butler County,Alabama,https://livingwage.mit.edu/counties/01013,Minimum Wage
0,$12.77,$25.75,$31.13,$39.12,$21.39,$25.76,$29.36,$31.03,$10.70,$14.26,$17.44,$19.65,Calhoun County,Alabama,https://livingwage.mit.edu/counties/01015,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Calhoun County,Alabama,https://livingwage.mit.edu/counties/01015,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Calhoun County,Alabama,https://livingwage.mit.edu/counties/01015,Minimum Wage
0,$12.89,$26.63,$33.02,$41.98,$21.83,$25.64,$29.24,$30.86,$10.92,$14.70,$18.38,$21.08,Chambers County,Alabama,https://livingwage.mit.edu/counties/01017,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Chambers County,Alabama,https://livingwage.mit.edu/counties/01017,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Chambers County,Alabama,https://livingwage.mit.edu/counties/01017,Minimum Wage
0,$12.72,$24.86,$29.98,$37.75,$20.92,$25.13,$28.74,$30.43,$10.46,$13.82,$16.87,$18.96,Cherokee County,Alabama,https://livingwage.mit.edu/counties/01019,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cherokee County,Alabama,https://livingwage.mit.edu/counties/01019,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cherokee County,Alabama,https://livingwage.mit.edu/counties/01019,Minimum Wage
0,$13.66,$26.54,$32.62,$42.07,$22.08,$25.86,$29.46,$31.88,$11.04,$14.66,$18.19,$21.12,Chilton County,Alabama,https://livingwage.mit.edu/counties/01021,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Chilton County,Alabama,https://livingwage.mit.edu/counties/01021,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Chilton County,Alabama,https://livingwage.mit.edu/counties/01021,Minimum Wage
0,$12.75,$25.58,$31.39,$39.39,$20.95,$25.18,$28.78,$30.03,$10.48,$14.18,$17.57,$19.78,Choctaw County,Alabama,https://livingwage.mit.edu/counties/01023,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Choctaw County,Alabama,https://livingwage.mit.edu/counties/01023,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Choctaw County,Alabama,https://livingwage.mit.edu/counties/01023,Minimum Wage
0,$12.81,$25.91,$32.09,$41.32,$21.22,$25.13,$28.74,$30.83,$10.61,$14.34,$17.92,$20.74,Clarke County,Alabama,https://livingwage.mit.edu/counties/01025,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Clarke County,Alabama,https://livingwage.mit.edu/counties/01025,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Clarke County,Alabama,https://livingwage.mit.edu/counties/01025,Minimum Wage
0,$12.87,$25.12,$30.50,$38.92,$21.44,$25.13,$28.74,$30.83,$10.72,$13.95,$17.13,$19.55,Clay County,Alabama,https://livingwage.mit.edu/counties/01027,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Clay County,Alabama,https://livingwage.mit.edu/counties/01027,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Clay County,Alabama,https://livingwage.mit.edu/counties/01027,Minimum Wage
0,$12.72,$25.12,$30.50,$38.79,$20.92,$25.13,$28.74,$30.69,$10.46,$13.95,$17.13,$19.48,Cleburne County,Alabama,https://livingwage.mit.edu/counties/01029,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cleburne County,Alabama,https://livingwage.mit.edu/counties/01029,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cleburne County,Alabama,https://livingwage.mit.edu/counties/01029,Minimum Wage
0,$13.10,$25.50,$30.88,$39.47,$21.46,$25.51,$29.12,$31.37,$10.73,$14.13,$17.31,$19.82,Coffee County,Alabama,https://livingwage.mit.edu/counties/01031,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Coffee County,Alabama,https://livingwage.mit.edu/counties/01031,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Coffee County,Alabama,https://livingwage.mit.edu/counties/01031,Minimum Wage
0,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26,Colbert County,Alabama,https://livingwage.mit.edu/counties/01033,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Colbert County,Alabama,https://livingwage.mit.edu/counties/01033,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Colbert County,Alabama,https://livingwage.mit.edu/counties/01033,Minimum Wage
0,$12.81,$25.91,$32.09,$41.25,$21.24,$25.13,$28.74,$30.77,$10.62,$14.34,$17.92,$20.71,Conecuh County,Alabama,https://livingwage.mit.edu/counties/01035,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Conecuh County,Alabama,https://livingwage.mit.edu/counties/01035,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Conecuh County,Alabama,https://livingwage.mit.edu/counties/01035,Minimum Wage
0,$12.99,$25.48,$30.86,$38.52,$21.19,$25.49,$29.09,$30.42,$10.60,$14.12,$17.30,$19.35,Coosa County,Alabama,https://livingwage.mit.edu/counties/01037,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Coosa County,Alabama,https://livingwage.mit.edu/counties/01037,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Coosa County,Alabama,https://livingwage.mit.edu/counties/01037,Minimum Wage
0,$12.81,$25.82,$31.90,$40.56,$21.09,$25.13,$28.74,$30.37,$10.55,$14.29,$17.82,$20.37,Covington County,Alabama,https://livingwage.mit.edu/counties/01039,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Covington County,Alabama,https://livingwage.mit.edu/counties/01039,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Covington County,Alabama,https://livingwage.mit.edu/counties/01039,Minimum Wage
0,$12.72,$25.12,$30.50,$38.08,$20.92,$25.13,$28.74,$29.98,$10.46,$13.95,$17.13,$19.13,Crenshaw County,Alabama,https://livingwage.mit.edu/counties/01041,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Crenshaw County,Alabama,https://livingwage.mit.edu/counties/01041,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Crenshaw County,Alabama,https://livingwage.mit.edu/counties/01041,Minimum Wage
0,$12.77,$26.43,$32.88,$42.06,$21.35,$25.37,$28.97,$30.75,$10.67,$14.60,$18.31,$21.12,Cullman County,Alabama,https://livingwage.mit.edu/counties/01043,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Cullman County,Alabama,https://livingwage.mit.edu/counties/01043,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Cullman County,Alabama,https://livingwage.mit.edu/counties/01043,Minimum Wage
0,$12.98,$25.12,$30.50,$38.55,$21.18,$25.13,$28.74,$30.45,$10.59,$13.95,$17.13,$19.36,Dale County,Alabama,https://livingwage.mit.edu/counties/01045,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Dale County,Alabama,https://livingwage.mit.edu/counties/01045,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Dale County,Alabama,https://livingwage.mit.edu/counties/01045,Minimum Wage
0,$12.92,$25.86,$31.94,$40.31,$21.19,$25.18,$28.78,$30.12,$10.60,$14.32,$17.85,$20.24,Dallas County,Alabama,https://livingwage.mit.edu/counties/01047,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Dallas County,Alabama,https://livingwage.mit.edu/counties/01047,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Dallas County,Alabama,https://livingwage.mit.edu/counties/01047,Minimum Wage
0,$12.72,$24.86,$29.98,$37.69,$20.92,$25.13,$28.74,$30.37,$10.46,$13.82,$16.87,$18.93,DeKalb County,Alabama,https://livingwage.mit.edu/counties/01049,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,DeKalb County,Alabama,https://livingwage.mit.edu/counties/01049,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,DeKalb County,Alabama,https://livingwage.mit.edu/counties/01049,Minimum Wage
0,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Elmore County,Alabama,https://livingwage.mit.edu/counties/01051,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Elmore County,Alabama,https://livingwage.mit.edu/counties/01051,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Elmore County,Alabama,https://livingwage.mit.edu/counties/01051,Minimum Wage
0,$12.81,$25.91,$32.09,$40.83,$21.44,$25.13,$28.74,$30.35,$10.72,$14.34,$17.92,$20.50,Escambia County,Alabama,https://livingwage.mit.edu/counties/01053,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Escambia County,Alabama,https://livingwage.mit.edu/counties/01053,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Escambia County,Alabama,https://livingwage.mit.edu/counties/01053,Minimum Wage
0,$13.16,$25.44,$30.56,$38.11,$21.36,$25.71,$29.31,$30.79,$10.68,$14.10,$17.15,$19.14,Etowah County,Alabama,https://livingwage.mit.edu/counties/01055,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Etowah County,Alabama,https://livingwage.mit.edu/counties/01055,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Etowah County,Alabama,https://livingwage.mit.edu/counties/01055,Minimum Wage
0,$12.81,$25.54,$31.34,$39.53,$21.44,$25.13,$28.74,$30.16,$10.72,$14.16,$17.55,$19.85,Fayette County,Alabama,https://livingwage.mit.edu/counties/01057,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Fayette County,Alabama,https://livingwage.mit.edu/counties/01057,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Fayette County,Alabama,https://livingwage.mit.edu/counties/01057,Minimum Wage
0,$12.81,$26.19,$32.64,$41.37,$21.34,$25.13,$28.74,$30.06,$10.67,$14.48,$18.20,$20.77,Franklin County,Alabama,https://livingwage.mit.edu/counties/01059,Living Wage
