,ori,ori9,population,agency_name,year,state,state_abb,population_group,country_division,fips_state_code,fips_county_code,fips_state_county_code,fips_place_code,longitude,latitude,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests
1,AK00101,AK0010100,287731,anchorage,2019,alaska,AK,"city 250,000 thru 499,999",pacific,02,020,02020,03000,-149.284329,61.17425,1145,20,298,274,20,45,203,992
48,AK00102,AK0010200,31493,fairbanks,2019,alaska,AK,"city 25,000 thru 49,999",pacific,02,090,02090,24230,-146.601909,64.691501,57,1,20,43,2,6,20,220
95,AK00103,AK0010300,31810,juneau,2019,alaska,AK,"city 25,000 thru 49,999",pacific,02,110,02110,36400,-134.178445,58.37291,91,3,34,18,2,1,20,162
142,AK00104,AK0010400,8316,ketchikan,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,130,02130,38970,-131.106685,55.449938,27,2,6,10,0,0,0,89
189,AK00105,AK0010500,5947,kodiak,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,150,02150,40950,-153.630606,57.553159,16,0,1,5,0,2,5,12
236,AK00106,AK0010600,3899,nome,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,180,02180,54920,-164.188912,64.783686,44,3,8,5,0,3,2,11
283,AK00107,AK0010700,3181,petersburg,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,198,02198,60310,-132.875734,55.415683,7,0,4,1,0,0,0,3
330,AK00108,AK0010800,2732,seward,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,122,02122,68560,-152.322283,60.366668,2,0,3,2,0,1,0,13
373,AK00109,AK0010900,8512,sitka,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,220,02220,70540,-135.367396,57.193204,6,0,4,5,0,2,1,27
420,AK00110,AK0011000,1159,skagway,2019,alaska,AK,"city under 2,500",pacific,02,230,02230,99230,-135.335418,59.575097,0,0,0,1,0,0,0,0
467,AK00111,AK0011100,2489,wrangell,2019,alaska,AK,"city under 2,500",pacific,02,275,02275,86380,-132.040325,56.279121,0,0,2,1,0,2,0,5
514,AK00112,AK0011200,3816,valdez,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,261,02261,82200,-145.023141,61.34984,0,0,0,4,0,0,0,2
561,AK00113,AK0011300,6544,bethel,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,050,02050,06520,-160.15335,60.928916,91,5,10,10,1,6,1,15
608,AK00114,AK0011400,2150,cordova,2019,alaska,AK,"city under 2,500",pacific,02,261,02261,17410,-145.023141,61.34984,0,0,0,0,0,0,0,3
651,AK00116,AK0011600,3272,kotzebue,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,188,02188,41830,-160.021086,67.005066,23,2,7,11,0,2,3,11
691,AK00117,AK0011700,7490,palmer,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,170,02170,58660,-149.407974,62.182174,17,0,7,3,1,1,5,78
738,AK00118,AK0011800,9801,north slope borough,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,185,02185,99185,-153.47283,69.449343,36,0,2,1,1,1,0,2
781,AK00119,AK0011900,277,seldovia,2019,alaska,AK,"city under 2,500",pacific,02,122,02122,68340,-152.322283,60.366668,0,0,0,0,0,0,0,0
819,AK00120,AK0012000,4756,soldotna,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,122,02122,71640,-152.322283,60.366668,8,0,16,6,0,1,1,64
866,AK00121,AK0012100,2441,haines,2019,alaska,AK,"city under 2,500",pacific,02,100,02100,99100,-135.576936,59.098771,5,0,0,0,0,0,0,0
902,AK00122,AK0012200,5913,homer,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,122,02122,33140,-152.322283,60.366668,1,0,3,3,0,0,0,28
949,AK00123,AK0012300,7862,kenai,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,122,02122,38420,-152.322283,60.366668,25,0,11,13,1,3,4,104
1039,AK00125,AK0012500,0,metlakatla tribal,2019,alaska,AK,"city under 2,500",pacific,02,198,02198,48870,-132.875734,55.415683,0,0,0,0,0,0,0,0
1051,AK00126,AK0012600,0,fairbanks intrnl airport,2019,alaska,AK,"city under 2,500",pacific,02,090,02090,99090,-146.601909,64.691501,1,0,0,1,0,0,0,0
1078,AK00127,AK0012700,0,ted stevens anchorage in,2019,alaska,AK,"city under 2,500",pacific,02,020,02020,99020,-149.284329,61.17425,4,0,3,4,0,0,0,14
1109,AK00128,AK0012800,203,whittier,2019,alaska,AK,"city under 2,500",pacific,02,261,02261,84510,-145.023141,61.34984,0,0,0,0,0,0,0,0
1156,AK00130,AK0013000,2405,dillingham,2019,alaska,AK,"city under 2,500",pacific,02,070,02070,18950,-158.602233,59.824816,40,0,10,3,1,2,0,0
1196,AK00131,AK0013100,792,hoonah,2019,alaska,AK,"city under 2,500",pacific,02,105,02105,33360,-135.1851,58.076434,0,0,0,0,0,0,0,0
1239,AK00132,AK0013200,2111,north pole,2019,alaska,AK,"city under 2,500",pacific,02,090,02090,55910,-146.601909,64.691501,5,0,1,0,0,0,1,6
1282,AK00133,AK0013300,4513,unalaska,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,016,02016,80770,178.338813,51.959447,3,0,0,2,0,0,0,4
1323,AK00135,AK0013500,822,klawock,2019,alaska,AK,"city under 2,500",pacific,02,198,02198,40400,-132.875734,55.415683,0,0,0,0,0,0,0,0
1364,AK00142,AK0014200,0,univ of ak: fairbanks,2019,alaska,AK,"city under 2,500",pacific,02,090,02090,24230,-146.601909,64.691501,0,0,0,0,0,0,0,2
1392,AK00143,AK0014300,0,univ of ak: anchorage,2019,alaska,AK,"city under 2,500",pacific,02,020,02020,03000,-149.284329,61.17425,0,0,0,0,0,0,0,6
1418,AK00145,AK0014500,1313,craig,2019,alaska,AK,"city under 2,500",pacific,02,198,02198,17740,-132.875734,55.415683,5,0,3,0,0,0,0,4
